author	inferreddate	shorttitle	place
Fullerton, Georgiana Charlotte Seveson-Gower, Lady	1852.0	Lady-bird. A tale	enk
Jerrold, Douglas William	1852.0	Cakes and ale	enk
Knox, Charles	1852.0	Confessions of county quarters	enk
Oliphant	1852.0	The Melvilles	enk
Oliphant	1852.0	Memoirs and resolutions of Adam Graeme of Mossgray	enk
Stewart, E. M	1852.0	Lillias Davenant	enk
Trollope, Frances Milton	1852.0	Uncle Walter;	enk
	1852.0	The brother and sister	enk
Smith, Albert	1852.0	The Pottleton legacy	enk
Bandinel, James	1852.0	Milton Davenant : a tale of the times we live in	enk
Greenhalgh, Thomas	1852.0	The vicissitudes of commerce; a tale of the cotton trade	enk
Houssaye, Arsène	1852.0	Men and women of France, during the last century	enk
Sealsfield, Charles	1852.0	The cabin book: or, National characteristics	enk
Bremer, Fredrika	1852.0	The home; or, Life in Sweden. And Strife and peace	enk
Bremer, Fredrika	1852.0	A diary, The H -- -- family, Axel and Ann	enk
Frost, John	1852.0	Incidents and narratives of travel in Europe, Asia, Africa and America : in various periods of history	enk
Ryan, William Redmond	1852.0	Personal adventures in Upper and Lower California	enk
Reid, Mayne	1852.0	The English family Robinson. The desert home; or, The adventures of a lost family in the wilderness	enk
Haliburton, Thomas Chandler	1852.0	Traits of American humor	enk
Jerrold, Douglas William	1852.0	Collected Writings	enk
Kelty, Mary Ann	1852.0	Reminiscences of thought and feeling	enk
Curling, Henry	1852.0	The Hall of Chavenlay; a winter's tale of 1649	enk
Grant, James	1852.0	The Scottish cavalier. An historical romance	enk
Knowles, James Sheridan	1852.0	George Lovell. A novel	enk
author of Raby Rattler. Hall, Thomas	1852.0	Floss; or, The progress of an adventurer in the regions of Australia	enk
Zschokke, Heinrich	1852.0	Labour stands on golden feet: or, the life of a foreign workman. A holiday story for sensible apprentices, journeymen, and masters	enk
	1852.0	Aesop's fables : a new version, chiefly from original sources	enk
Ward, James	1852.0	Adolphe Renouard: or peasant life and political clubs in France	enk
Ellis, Sarah Stickney	1852.0	Agatha Beaufort; or, Family pride	enk
Deacon, William Frederick	1852.0	Annette;	enk
Collins, Wilkie	1852.0	Basil	enk
Mills, John	1852.0	The belle of the village	enk
Bride	1852.0	The bride elect, a novel	enk
Arami	1852.0	Cathal More; or, self-love and self-control	enk
Cartwright, Robert	1852.0	Christabelle; or, Angel-footsteps	enk
	1852.0	Clara Harrington	enk
Crawford, A	1852.0	The double marriage	enk
Belfast, Frederick Richard Chichester	1852.0	The farce of life	enk
Grey	1852.0	Gentleman Jack; or, Life on the road	enk
Wallace, Ellen	1852.0	Lena, or, The silent woman	enk
	1852.0	The lost inheritance	enk
Grey, (Elizabeth Caroline), Mrs	1852.0	Mary Seaham. A novel	enk
Nunn, Lorenzo N	1852.0	The militia major	enk
James, G. P. R. (George Payne Rainsford)	1852.0	Pequinillo	enk
Tayleure, Floyd	1852.0	Professions	enk
Savage, M. W	1852.0	Reuben Medlicott, or, The coming man	enk
	1852.0	The Royalist and the Republican	enk
Lytton, Rosina Bulwer Lytton, Baroness	1852.0	The school for husbands; or, Moliere's life and times	enk
Daniel, Mackenzie	1852.0	The student's wife	enk
Anderson	1852.0	The three paths, or, Truth, vanity, and profession	enk
Cairnes, W. Wellington	1852.0	Vagaries of life	enk
Madden, Daniel Owen	1852.0	Wynville, or, Clubs and coteries	enk
Reeve, Clara	1852.0	The harvest home; a domestic romance	enk
Bremer, Fredrika	1852.0	Fredrika Bremer's works	enk
Crumpe, Miss	1852.0	The Death-flag	enk
Cobbold, Richard	1852.0	Courtland	enk
Warner, Susan	1852.0	Queechy	enk
Goldschmidt, Meïr	1852.0	Jacob Bendixen, the Jew; adapted from the Danish of Goldschmidt	enk
Morier, James Justinian	1852.0	Martin Toutrond; or, Adventures of a Frenchman in London	enk
Douglass, Frederick	1852.0	Narrative of the life of Frederick Douglass, an American slave	enk
?? Beckett, Gilbert Abbott	1852.0	The comic history of Rome	enk
Fielding, Henry	1852.0	The works of Henry Fielding, complete in one volume : with a memoir of the author	enk
	1852.0	The Spectator	enk
Hoffmann, E. T. A. (Ernst Theodor Amadeus)	1852.0	Money, and its influence. A tale	enk
Stowe, Harriet Beecher	1853.0	The illustrated Sabbath school ed. of Uncle Tom's cabin	enk
Ware, William	1853.0	Rome & the early Christians	enk
Kingsley, Charles	1853.0	"Hypatia : or, New foes with an old face / by Charles Kinglsey, jun. ... Reprinted from ""Fraser's magazine."""	enk
Cameron, G. Poulett (George Poulett)	1853.0	The romance of military life; being souvenirs connected with thirty years' service	enk
Reade, Charles	1853.0	Peg Woffington	enk
Pepys, Charlotte Maria, Lady	1853.0	The diary and houres of the Ladye Adolie, a faythfulle childe, 1552	enk
Mayhew, Horace	1853.0	"Letters left at the pastrycook's : being the clandestine correspondence between Kitty Clover at school and her ""dear, dear friend"" in town"	enk
	1853.0	Yule-tide stories : a collection of Scandinavian and North German popular tales and traditions, from the Swedish, Danish, and German	enk
Robinson, Emma	1853.0	Whitehall, or, The days of Charles the first : an historical romance	enk
Reynolds, George W. M. (George William MacArthur)	1853.0	The seamstress : or, The white slave of England	enk
Boner, Charles	1853.0	Chamois hunting in the mountains of Bavaria	enk
Rowcroft, Charles	1853.0	Fanny the little milliner: [or, The rich and the poor]	enk
Sterne, Laurence	1853.0	Works	enk
McIntosh, Maria J. (Maria Jane)	1853.0	Annie Donaldson, or, Evenings at the old manor house	enk
Tupper, Martin Farquhar	1853.0	The twins: a tale of concealment	enk
Lover, Samuel	1853.0	Handy Andy	enk
Hamilton, C. G	1853.0	The unclaimed daughter;	enk
Jerrold, Douglas William	1853.0	A man made of money and The chronicles of Clovernook	enk
Oliphant	1853.0	Harry Muir	enk
	1853.0	The Railway anecdote book	enk
Reid, Mayne	1853.0	The boy hunters, or, Adventures in search of a white buffalo	enk
Sinclair, Catherine	1853.0	London homes, including The murder hole; The drowning dragoon; The priest and the curate; Lady Mary Pierrepoint; and Frank Vansittart	enk
Whyte-Melville, G. J. (George John)	1853.0	Digby Grand	enk
Disraeli, Benjamin, Earl of Beaconsfield	1853.0	The novels and tales of the right Hon. B. Disraeli	enk
Maxwell, W. H. (William Hamilton)	1853.0	The fortunes of Hector O'Halloran, and his man Mark Antony O'Toole	enk
	1853.0	Yankee humour and Uncle Sam's fun	enk
Bunbury, Selina	1853.0	Life in Sweden; with excursions in Norway and Denmark	enk
Walter, Richard	1853.0	A voyage round the world, in the years 1740, 41, 42, 43, 44, by George Anson	enk
St. John, James Augustus	1853.0	There and back again in search of beauty	enk
Dickson, Walter B	1853.0	Poultry : their breeding, rearing, diseases, and general management	enk
Palliser, John	1853.0	Solitary rambles and adventures of a hunter in the prairies	enk
Masson, Michel	1853.0	Celebrated children of all ages and nations	enk
Old Humphrey	1853.0	The old sea captain	enk
Lang, John	1853.0	Too clever by half, or, The Harroways	enk
Mackarness, Henry S, Mrs	1853.0	Influence : or, The evil genius	enk
Thomson, Edward	1853.0	The adventures of a carpet bag : respectfully addressed to travellers in general	enk
	1853.0	Killarney legends	enk
Craik, Dinah Maria (Mulock), Mrs	1853.0	Agatha's husband;	enk
Craik, Dinah Maria (Mulock), Mrs	1853.0	Avillion and other tales	enk
Tautphoeus, Jemima Montgomery	1853.0	Cyrilla	enk
Gore	1853.0	The dean's daughter, or, The days we live in	enk
Long, Catharine, Lady	1853.0	The first lieutenant's story	enk
Daniel, Mackenzie	1853.0	Gertrude Cameron	enk
Yonge, Charlotte M. (Charlotte Mary)	1853.0	The heir of Redclyffe	enk
Cole, Alfred Whaley	1853.0	Hope	enk
Maillard, Annette Marie	1853.0	Miles Tremenhere	enk
Hannay, James	1853.0	Sketches in ultra-marine	enk
	1853.0	Tendring cottage, or, The rainbow at night	enk
	1853.0	Walter Evelyn, or, The long minority	enk
Belfast, Frederick Richard Chichester	1853.0	Wealth and labour	enk
Lee, R., Mrs	1853.0	Adventures in Australia; or, The wanderings of Captain Spencer in the bush and the wilds. Containing accurate descriptions of the habits of the natives, and the natural productions and features of the country	enk
Crosland, Newton, Mrs	1853.0	Stray leaves from shady places	enk
pseud. Drayton, Marian	1853.0	Ephemeris ; or, Leaves from ye journall of Marian Drayton [1553-1559]	enk
Edgeworth, Maria	1853.0	Orlandino	stk
Sheppard, Elizabeth Sara	1853.0	Charles Auchester.: A memorial	enk
Manning, Anne	1853.0	Cherry & Violet	enk
Copley, Esther	1853.0	Early friendships	enk
	1853.0	The Arabian nights' entertainments:	enk
Wright, Frances	1853.0	A Few days in Athens	enk
Mackintosh, James, Sir	1854.0	The miscellaneous works of the Right Honourable Sir James Mackintosh	enk
Patmore, P. G. (Peter George)	1854.0	Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward	enk
Patmore, P. G. (Peter George)	1854.0	R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt	enk
Patmore, P. G. (Peter George)	1854.0	William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan	enk
Thomson, A. T, Mrs	1854.0	Basing house: its beseigers and beseiged. Latham house and the Stanley family. Coleridge; Sir James Hal	enk
Yonge, Charlotte M. (Charlotte Mary)	1854.0	Heartsease; or, the brother's wife	enk
Mayhew, Henry	1854.0	"The story of the peasant-boy philosopher; or, ""The child gathering pebbles on the sea-shore."" (Founded on the early life of Ferguson, the shephard-boy astronomer, and intended to show how a poor lad became acquainted with the principles of natural science.)"	enk
Heighway, Osborn W. Trenery	1854.0	Adeline; or, Mysteries, romance, and realities of Jewish life	enk
La Gironière, Paul P. de	1854.0	Adventures in the Philippine Islands	enk
Robson, William	1854.0	The old play-goer	enk
Warren, Samuel	1854.0	Now and then; The lily and the bee; The intellectual and moral development of the present age	stk
Burney, Fanny	1854.0		enk
Thomson, A. T, Mrs	1854.0	Recollections of literary characters and celebrated places	enk
Bullard, A. T. J. (Anne Tuttle Jones)	1854.0	Love affairs, or, How a flirt was caught in his own trap	enk
Fullom, S. W. (Stephen Watson)	1854.0	The great highway: a story of the world's struggles	enk
Manning, Anne	1854.0	Claude the colporteur	enk
Marsh-Caldwell, Anne	1854.0	Aubrey	enk
Thackeray, William Makepeace	1854.0	The Newcomes; memoirs of a most respectable family	enk
Hamley, Edward Bruce, Sir	1854.0	Lady Lee's widowhood	enk
Goldsmith, Oliver	1854.0	The works of Oliver Goldsmith	enk
	1854.0	Autobiography of an Indian Army surgeon ;	enk
Haliburton, Thomas Chandler	1854.0	The Americans at home;	enk
Knighton, W	1854.0	Forest life in Ceylon	enk
Reynolds, George W. M. (George William MacArthur)	1854.0	Joseph Wilmot, or, The memoirs of a man-servant	enk
Ainsworth, William Harrison	1854.0	The star-chamber;	enk
Ainsworth, William Harrison	1854.0	The Star-Chamber; an historical romance	enk
Gore, (Catherine Grace Frances), Mrs	1854.0	Progress and prejudice	enk
Gore	1854.0	Progress and prejudice	enk
Lever, Charles James	1854.0	The Dodd family abroad	enk
Aulnoy	1854.0	[Fairy Tales	enk
Ainsworth, William Harrison	1854.0	The flitch of bacon, or The custom of Dunmow;	enk
Hofland	1854.0	The good grandmother and her offspring;	enk
Mitford, Mary Russell	1854.0	Atherton, and other tales	enk
Moodie, Susanna	1854.0	Flora Lyndsay, or, Passages in an eventful life	enk
Moore, Thomas	1854.0	The poetical works of Thomas Moore	enk
Oliphant	1854.0	Magdalen Hepburn	enk
Sewell, Elizabeth Missing	1854.0	Katharine Ashton	enk
Haydon, George Henry	1854.0	The Australian emigrant	enk
Meadows, Lindon	1854.0	Whittlings from the West:	stk
Whyte-Melville, G. J. (George John)	1854.0	Tilbury Nogo; or, Passages in the life of an unsuccessful man	enk
Whyte-Melville, G. J. (George John)	1854.0	Tilbury Nogo;	enk
Ponsonby, Emily, Lady	1854.0	Edward Willoughby : a tale	enk
Scott, Walter, Sir	1854.0	Novels; with all his introductions & notes	stk
	1854.0	The English cyclopaedia : a new dictionary of Universal Knowledge	enk
Defoe, Daniel	1854.0		enk
Defoe, Daniel	1854.0	by an anonym	enk
Defoe, Daniel	1854.0	The novels and miscellaneous works of Daniel De Foe :	enk
	1854.0	Victoriae	enk
Bede, Cuthbert	1854.0	The further adventures of Mr. Verdant Green, an Oxford undergraduate, being a continuation of The adventures of Mr. Verdant Green, an Oxford freshman	enk
Jókai, Mór	1854.0	Hungarian sketches in peace and war	stk
Tertullian	1854.0	Tertullian : Apologetic and practical treatises	enk
Sidney, Samuel	1854.0	Gallops and gossips in the bush of Australia; or, Passages in the life of Alfred Barnard	enk
Old Sailor	1854.0	Floating remembrances and sketches of a sea life	enk
Kaye, John William, Sir	1854.0	Jerningham: a story	enk
MacWalter, J. G	1854.0	Tales of Ireland and the Irish	enk
W. N. Wilkins. Wilkins, Marcella Fanny, Mrs	1854.0	The slave son	enk
Francis, Francis	1854.0	The real salt	enk
Kettle, Rosa Mackenzie	1854.0	Lewell pastures	enk
Webb-Peploe, (Annie), Mrs	1854.0	Julio Arnouf; a tale of the Vaudois	enk
Navarro Villoslada, Francisco	1854.0	Doña Blanca of Navarre. An historical romance	enk
Porchat, J. Jacques (Jean Jacques)	1854.0	Three months under the snow : the journal of a young inhabitant of the Jura	enk
Bray, (Anna Eliza), Mrs	1854.0	A peep at the pixies : or, Legends of the west	enk
Gogolʹ, Nikolaĭ Vasilʹevich	1854.0	Home life in Russia	enk
Grant, Louisa Keir	1854.0	Charles Stanley	enk
Sheppard, Elizabeth Sara	1854.0	Counterparts, or, The cross of love	enk
Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie	1854.0	Florence, the beautiful	enk
Coke, Henry J	1854.0	High and low; or, Life's chances and changes	enk
Crowe, Catherine	1854.0	Linny Lockwood	enk
Hall, Frederick J	1854.0	The next of kin	enk
Grant, James	1854.0	Philip Rollo, or, The Scottish musketeers	enk
	1854.0	Tales of chivalry	enk
THORNTON, Tom	1854.0	Tom Thornton, or Last Resources	enk
	1854.0	Trial and triumph	enk
Robinson, Emma	1854.0	Westminster Abbey	enk
Sherwood, (Mary Martha), 1775-1851, Mrs	1854.0	The history of the Fairchild family; or, The child's manual: being a collection of stories calculated to show the importance and effects of a religious education	enk
Trollope, Frances Milton	1854.0	The life and adventures of a clever woman. Illustrated with occasional extracts from her diary	enk
Cervantes Saavedra, Miguel de	1854.0	The wanderings of Persiles and Sigismunda : a northern story	enk
Forrester, Alfred Henry	1854.0	A bundle of crowquills	enk
Howard, Mary M. (Mary Matilda)	1854.0	The youth and womanhood of Helen Tyrrel	enk
Cartwright, Robert, Mrs	1854.0	Ambrose, the sculptor: an autobiography of artist life	enk
Davies, Christiana Jane	1854.0	The History of Herbert Lake	enk
	1854.0	The Home companion	enk
Bungener, Félix	1854.0	France before the revolution; or, Priests, infidels, and Huguenots in the reign of Louis XV	stk
Jameson, (Anna), Mrs	1855.0	A commonplace book of thoughts, memories, and fancies. Original and selected	enk
Croly, George	1855.0	Salathiel. The immortal. A history	enk
Beste, John Richard Digby	1855.0	The Wabash: or, Adventures of an English gentleman's family in the interior of America	enk
Warren, Samuel	1855.0	The bracelets. My first circuit. Sir William Follett. Memoir of John William Smith. Who is the murderer? The Duke of Marlborough. The paradise in the Pacific. Uncle Tom's cabin. Calais. Pegsworth	stk
Warren, Samuel	1855.0	The mystery of murder, and its defence. Modern state trials. The martyr patriots. Speculators among the stars. A few personal recollections of Christopher North	stk
McIntosh, Maria J. (Maria Jane)	1855.0	Grace Elliot, or, To seem and to be : a tale	enk
Curling, Henry	1855.0	Recollections of the mess-table and the stage	enk
Trollope, Frances Milton	1855.0	Gertrude;	enk
Trollope, Frances Milton	1855.0	Gertrude; or, Family pride	enk
Webber, Charles W. (Charles Wilkins)	1855.0	Wild scenes in the forest and prairie; or, : The romance of natural history	enk
Neale, W. Johnson (William Johnson)	1855.0	The pride of the mess : a naval novel of the Crimean war	enk
Thackeray, William Makepeace	1855.0	Memoirs of Mr. C. J. Yellowplush. Diary of C. Jeames de la Pluche, Esq. Sketches and travels in London. Novels  by eminent hands. Character sketches	enk
Thackeray, William Makepeace	1855.0	The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy	enk
Sinclair, Catherine	1855.0	Cross purposes	enk
Kavanagh, Julia	1855.0	Grace Lee	enk
Wilson, John	1855.0	Tales	stk
Harwood, John Berwick	1855.0	The serf-sisters;	enk
Ellis, Sarah Stickney	1855.0	My brother, or, The man of many friends	enk
	1855.0	A Dozen pair of wedding gloves	enk
Knighton, W	1855.0	The private life of an eastern king	enk
Drury, Anna Harriet	1855.0	The blue ribbons	enk
Conscience, Hendrik	1855.0	Tales of Flemish life	stk
Reid, Mayne	1855.0	The white chief : a legend of northern Mexico	enk
Wikoff, Henry	1855.0	My courtship and its consequences;	enk
Byron, George Gordon Byron	1855.0	Childe Harold's pilgrimage	enk
Brooks, Shirley	1855.0	Aspen court; a story of our own time	enk
Smedley, Frank E. (Frank Edward)	1855.0	Harry Coverdale's courtship	enk
Haliburton, Thomas Chandler	1855.0	"Nature and human nature. By the author of ""Sam Slick the clockmaker"""	enk
Whiting, Sydney	1855.0	Heliondé : or, Adventures in the sun	enk
Bede, Cuthbert	1855.0	Love's provocations : being extracts taken, in the most unmanly and unmannerly manner, from the diary of Miss Polly C--	enk
Morgan, (Sydney), Lady	1855.0	Woman and her master. A history of the female sex from the earliest period	enk
Madame d' Aulnoy, (Marie-Catherine)	1855.0	Fairy tales	enk
Hardy, Campbell	1855.0	Sporting adventures in the new world, or, Days and nights of moose-hunting in the pine forests of Acadia	enk
Queen, consort of Henry II, King of Navarre, Marguerite	1855.0	The Heptameron of Margaret, queen of Navarre	enk
Charlesworth, Maria Louisa	1855.0	Ministering children : a tale dedicated to childhood	enk
Webber, Charles W. (Charles Wilkins)	1855.0	The romance of forest and prairie life: narratives of perilous adventures and wild hunting scenes	enk
Turgenev, Ivan Sergi︠e︡evích	1855.0	Russian life in the interior; or, The experiences of a sportsman	stk
Clergyman	1855.0	Antipodes, or, the new existence	enk
Sewell, Elizabeth Missing	1855.0	Cleve Hall	enk
Maberly	1855.0	Display	enk
	1855.0	Edith Vernon, or, Contrasts of character	enk
Goodrich, A. M	1855.0	Gwen, or, The cousins	enk
Wheeler, James Talboys	1855.0	The life and travels of Herodotus in the fifth century	enk
Oliphant	1855.0	Lilliesleaf: being a concluding series of Passages in the life of Mrs. Margaret Maitland, of Sunnyside	enk
	1855.0	Millicent, or, The trials of life	enk
Rafter	1855.0	Percy Blake; or, The young rifleman	enk
Lennox, William Pitt	1855.0	Philip Courtenay, or, Scenes at home and abroad	enk
Williams, F	1855.0	The secret marriage, or, Contrasts in life	enk
Carter, Robert S	1855.0	Talbot Hall	enk
Aston, Claude	1855.0	They are only cousins	enk
Armstrong, F. Claudius	1855.0	The warhawk	enk
Kingsley, Charles	1855.0	Westward ho!	enk
Reid, Mayne	1855.0	The white chief	enk
Stretton, Julia Cecilia	1855.0	Woman's devotion	enk
Stowe, Harriet Beecher	1855.0	"Tales and sketches of New England life : comprising ""The Mayflower,"" and other miscellaneous writings"	enk
Hannay, James	1855.0	Eustace Conyers; a novel	enk
	1855.0	Tales of the mountains	enk
Lever, Charles James	1855.0	The confessions of Con Cregan : the Irish Gil Blas	enk
	1855.0	The noble and renowned history of Guy, Earl of Warwick : containing a full and true account of his many famous and valiant actions, remarkable and brave exploits and noble and renowned victories	enk
Adams, F. Colburn (Francis Colburn)	1855.0	Our world, or, The democrat's rule	enk
Grey, George, Sir	1855.0	Polynesian mythology and ancient traditional history of the New Zealand race, as furnished by their priests and chiefs	enk
Bowman, Anne	1855.0	Esperanza, or, The home of the wanderers	enk
Clive, Caroline	1855.0	Paul Ferroll,: a tale	enk
Smith, Charles Manby	1855.0	The reign of terror; or, The diary of a volunteer of the year 2 of the French Republic;	enk
Jewsbury, Geraldine Endsor	1855.0	Constance Herbert	enk
Reynolds, George W. M. (George William MacArthur)	1855.0	The loves of the harem; a tale of Constantinople	enk
Manning, Anne	1855.0	The old Chelsea bun-house : a tale of the last century	enk
Corner	1855.0	The brothers Basset	enk
	1855.0	The Greek romances of Heliodorus, Longus and Achilles Tatius : comprising The Ethiopics, or, Adventures of Theagenes and Chariclea, The Pastoral amours of Daphinis and Chloe, and The Lovers of Clitopho and Leucippe	enk
Reynolds, George W. M. (George William MacArthur)	1856.0	Ellen Percy; or, The memoirs of an actress	enk
Reynolds, George W. M. (George William MacArthur)	1856.0	Ellen Percy	enk
James, G. P. R. (George Payne Rainsford)	1856.0	The Old Dominion : a novel	enk
James, G. P. R. (George Payne Rainsford)	1856.0	The Old Dominion	enk
Humphreys, Henry Noel	1856.0	The bibliophilist's story: The lost books of Livy. The botanist's story: The crimson drop. The numismatist's story: The pentadrachm of Ptolemy. The English archæeologist's fist story: Discoverers and their persecutors. The surgeon's story: The imperial barber	enk
Humphreys, Henry Noel	1856.0	The young painter's story: The student of the Vatican. The biographer's story: The field of May. The Spaniard's story: The auletes (a numismatic anecdote). The archaeologist's second story: The manola of Puerto-de-Santa-Marie	enk
Meredith, George	1856.0	The shaving of Shagpat. An Arabian entertainment	enk
Beckwourth, James Pierson	1856.0	The life and adventures of James P. Beckwourth, mountaineer, scout, and pioneer, and chief of the Crow nation of Indians	enk
Oliphant, Mrs. (Margaret)	1856.0	Zaidee : a romance	enk
Sewell, Elizabeth Missing	1856.0	Ivors	enk
Lytton, Edward Bulwer Lytton, Baron	1856.0	My novel by Pisistratus Caxton : or, Varieties in English life	enk
Martineau, Harriet	1856.0	Sketches from life	enk
Herreros de Mora, Angel	1856.0	"A narrative by Dn. Angel Herreros de Mora of his imprisonment by the ""Tribunal of the Faith"" and escape from Spain"	enk
Grant, Elizabeth	1856.0	Holiday rambles: or, Peeps into the book of nature	enk
Savage, M. W	1856.0	Clover cottage ; or, I can't get in	enk
Belcher, Edward, Sir	1856.0	Horatio Howard Brenton	enk
Hubback	1856.0	The old vicarage	enk
Boyd, Archibald	1856.0	The crown ward	enk
Whyte-Melville, G. J. (George John)	1856.0	Kate Coventry	enk
Webb-Peploe, (Annie), Mrs	1856.0	Naomi, or, The last days of Jerusalem	enk
Mme, Girardin, Emile de	1856.0	Stories of an old maid related to her nephews and nieces	enk
Peacock, Thomas Love	1856.0	Maid Marian, and Crotchet castle	enk
Palmer, William	1856.0	The Queen v. Palmer : verbatim report of the trial of William Palmer at the Central criminal court, Old Bailey, London, May 14, and following days, 1856, before Lord Campbell, Mr. Justice Cresswell, and Mr. Baron Alderson	enk
Austen, Jane	1856.0	Northanger abbey. A novel	enk
Strickland, Jane Margaret	1856.0	Adonijah : a tale of the Jewish dispersion	enk
Marryat, Frederick	1856.0	The poacher	enk
Marryat, Frederick	1856.0	Rattlin, the reefer	enk
Edmonston, Eliza	1856.0	Sketches and tales of the Shetland Islands	stk
Campe, Joachim Heinrich	1856.0	Robinson, the younger; or, The new Crusoe	enk
Hurton, William	1856.0	The doomed ship; or, The wreck of the Arctic regions	enk
Collins, Wilkie	1856.0	After dark	enk
Wallace, Ellen	1856.0	Beyminstre	enk
Lyle, Max	1856.0	Fair oaks, or, The experiences of Arnold Osborne, M.D	enk
Lee, Holme	1856.0	Kathie Brande	enk
	1856.0	Laura Gay	enk
Gore	1856.0	A life's lessons	enk
Stretton, Julia Cecilia	1856.0	Margaret and her bridesmaids	enk
Scott	1856.0	The old grey church	enk
Melville, Julia	1856.0	Old memories	enk
Reid, Mayne	1856.0	The quadroon	enk
St. John, James Augustus	1856.0	The ring and the veil	enk
Lytton, Rosina Bulwer Lytton, Baroness	1856.0	Very successful!	enk
Armstrong, F. C	1856.0	The young commander	enk
Ponsonby, Emily	1856.0	The young Lord	enk
Chatterton, Georgiana, Lady	1856.0	Compensation : a story of real life thirty years ago	enk
Tindal, Henrietta Euphemia	1856.0	The heirs of Blackridge Manor, a tale of the past and present	enk
Jewsbury, Geraldine Endsor	1856.0	Angelo, or, The pine forest in the Alps	enk
Smith, Albert	1856.0	The adventures of Mr. Ledbury and his friend Jack Johnson	enk
Marryat, Emilia	1856.0	Henry Lyle, or, Life and existence	enk
Cayley, George John	1856.0	The bridle roads of Spain	enk
Grimm, Jacob	1856.0	German fairy tales and popular stories	enk
of Swarraton. Thomas	1857.0	The noble traytour : a chronicle	enk
Morley, Henry	1857.0	Gossip	enk
Gore, (Catherine Grace Frances), Mrs	1857.0	The two aristocracies : a novel	enk
Gore	1857.0	The two aristocracies	enk
Trollope, Frances Milton	1857.0	"The widow married; a sequel to ""The widow Barnaby"""	enk
Brontë, Charlotte	1857.0	The professor	enk
Reade, Charles	1857.0	The course of true love never did run smooth	enk
Pardon, George Frederick	1857.0	Dogs:	enk
Mathews, (Anne Jackson), Mrs	1857.0	Tea-table talk, ennobled actresses, and other miscellanies	enk
Jarves, James Jackson	1857.0	Kiana: a tradition of Hawaii	enk
Tupper, Martin Farquhar	1857.0	The crock of gold, and other tales	enk
Cummins, Maria S. (Maria Susanna)	1857.0	Mabel Vaughan	enk
Trollope, Frances Milton	1857.0	The ward	enk
Martineau, Harriet	1857.0	The peasant, and The prince	enk
Horlock, Knightley William	1857.0	The Squire of Beechwood, a true tale of Scrutator [pseud.]	enk
Gerstäcker, Friedrich	1857.0	The little whaler : or, the adventures of Charles Hollberg	enk
Howitt, William	1857.0	Tallangetta, the squatter's home	enk
Manning, Anne	1857.0	The good old times	enk
Ballantyne, R. M. (Robert Michael)	1857.0	Ungava / a tale of Esquimaux land	enk
Craik, Dinah Maria (Mulock), Mrs	1857.0	Nothing new	enk
Bede, Cuthbert	1857.0	Nearer and dearer	enk
Andersen, H. C. (Hans Christian)	1857.0	To be, or not to be?	enk
Elton, Arthur Hallam	1857.0	Below the surface	enk
Beste, John Richard Digby	1857.0	Alcazar; or, The dark ages	enk
	1857.0	Cuthbert St. Elme, M.P., or, Passages in the life of a politician	enk
Gore	1857.0	The inundation;	enk
Hofland	1857.0	Adelaide; or, The massacre of St. Bartholomew	enk
Hofland	1857.0	The daughter-in-law, her father & family	enk
Wilson, John Mackay	1857.0	Tales of the borders and of Scotland	stk
Wilson, John Mackay	1857.0	Wilson's tales of the borders, and of Scotland;	enk
Craik, Georgiana M. (Georgiana Marion)	1857.0	Riverston	enk
Chatterton, Georgiana, Lady	1857.0	Life and its realities	enk
Jean Paul	1857.0	The Campaner Thal : or, Discourses on the immortality of the soul	enk
Mayo, William Starbuck	1857.0	Kaloolah, or, African adventures	enk
Jahr, G. H. G. (Gottlieb Heinrich Georg)	1857.0	General and special therapeutics of mental diseases and psychical disorders, compiled and edited according to homœopathic principles	enk
Balfour, Clara Lucas	1857.0	The Burnish family	stk
Bede, Cuthbert	1857.0	Mr. Verdant Green married and done for: being the third and concluding part of The adventures of Mr. Verdant Green, an Oxford freshman	enk
Lymburner, A. L	1857.0	The Mohawk chief	enk
Whitty, Edward Michael	1857.0	Friends of Bohemia : or, Phases of London life	enk
Goodrich, A. M	1857.0	The myrtle and the heather	enk
Fullom, S. W. (Stephen Watson)	1857.0	The man of the world, or, Vanities of the day	enk
Manning, Anne	1857.0	Helen and Olga : a Russian tale	enk
Reynolds, George W. M. (George William MacArthur)	1857.0	The Empress Eugenie's boudoir	enk
	1857.0	Magdalen Stafford; or, A gleam of sunshine on a rainy day	enk
Reynolds, George W. M. (George William MacArthur)	1857.0	Agnes, or, Beauty and pleasure	enk
Aikin-Kortright, Fanny	1857.0	Anne Sherwood: or, The social institutions of England	enk
Oliphant	1857.0	The Athelings, or, The three gifts	stk
	1857.0	Brimelsea; or, Character the index of fate	enk
Crawford, A	1857.0	Early struggles	enk
Lever, Charles James	1857.0	The fortunes of Glencore	enk
	1857.0	The Gables	enk
Murray, Charles Augustus, Sir	1857.0	Hassan : or, The child of the pyramid	enk
